Dim        ,Step    ,|V|  ,|E|    ,Time                   ,Opt    ,Root relaxation ,Iterations ,Nodes explored
10x50-2    ,Solve 1 ,  60 ,   252 ,  0.008076999999999999 , 155.0 ,12              ,       127 ,             1
10x50-2    ,Solve 2 ,  30 ,     2 ,  0.0                  ,   0.0 ,-               ,         0 ,             0
50x150-3   ,Solve 1 , 200 ,  5002 ,  7.065901             , 433.0 ,1.050000e+02    ,      8549 ,            87
50x150-3   ,Solve 2 , 133 ,  1652 ,  2.228128             , 216.0 ,8.682353e+01    ,      2043 ,            47
50x150-3   ,Solve 3 ,  66 ,     2 ,  0.0                  ,   0.0 ,-               ,         0 ,             0
150x1000-3 ,Solve 1 ,1150 ,100002 ,387.813267             ,4762.0 ,3.783333e+02    ,    244866 ,           287
150x1000-3 ,Solve 2 , 766 , 33302 ,129.11660700000004     ,2381.0 ,3.281000e+02    ,     72457 ,           181
150x1000-3 ,Solve 3 , 383 ,     2 ,  0.0                  ,   0.0 ,-               ,         0 ,             0
200x200-3  ,Solve 1 , 400 , 26668 , 94.73677800000007     , 399.0 ,2.050000e+02    ,    117241 ,           865
200x200-3  ,Solve 2 , 266 ,  8846 , 19.088392             , 198.0 ,1.378507e+02    ,     60679 ,          2218
200x200-3  ,Solve 3 , 132 ,     2 ,  0.0                  ,   0.0 ,-               ,         0 ,             0
50x50-2    ,Solve 1 , 100 ,  1252 ,  1.066308999999933    ,  75.0 ,5.500000e+01    ,      3345 ,           204
50x50-2    ,Solve 2 ,  50 ,     2 ,  0.0                  ,   0.0 ,-               ,         0 ,             0
150x200-5  ,Solve 1 , 352 , 24282 , 96.22127799999998     , 440.0 ,1.593113e+02    ,    183108 ,          2464
150x200-5  ,Solve 2 , 280 , 14402 , 18.74272700000006     , 330.0 ,1.283333e+02    ,     39420 ,           328
150x200-5  ,Solve 3 , 210 ,  7202 ,  7.040434000000005    , 220.0 ,9.833333e+01    ,     12655 ,           203
150x200-5  ,Solve 4 , 140 ,  2402 ,  2.278242999999975    , 110.0 ,6.833333e+01    ,      3808 ,            93
150x200-5  ,Solve 5 ,  70 ,     2 ,  0.0                  ,   0.0 ,-               ,         0 ,             0
200x200-4  ,Solve 1 , 400 , 30002 ,127.04468799999995     , 450.0 ,2.050000e+02    ,    155248 ,          3337
200x200-4  ,Solve 2 , 300 , 15002 , 24.210436000000072    , 300.0 ,1.550000e+02    ,     60440 ,           653
200x200-4  ,Solve 3 , 200 ,  5002 ,  6.154889000000026    , 150.0 ,1.050000e+02    ,     32959 ,          1365
200x200-4  ,Solve 4 , 100 ,     2 ,  0.0                  ,   0.0 ,-               ,         0 ,             0
50x50-3    ,Solve 1 , 100 ,  1668 ,  1.2311059999999543   ,  99.0 ,5.500000e+01    ,      5399 ,           209
50x50-3    ,Solve 2 ,  66 ,   546 ,  0.2888219999999819   ,  48.0 ,3.741176e+01    ,       304 ,             1
50x50-3    ,Solve 3 ,  32 ,     2 ,  0.0                  ,   0.0 ,-               ,         0 ,             0
150x200-3  ,Solve 1 , 352 , 20236 , 38.040085999999974    , 368.0 ,1.593113e+02    ,     50690 ,           285
150x200-3  ,Solve 2 , 234 ,  6702 ,  7.18104500000004     , 184.0 ,1.084000e+02    ,     18567 ,           348
150x200-3  ,Solve 3 , 117 ,     2 ,  0.0                  ,   0.0 ,-               ,         0 ,             0
50x100-3   ,Solve 1 , 150 ,  3336 ,  2.8772760000000517   , 232.0 ,7.500000e+01    ,      5862 ,            85
50x100-3   ,Solve 2 , 100 ,  1124 ,  1.1064589999999725   ,  83.0 ,4.841176e+01    ,      1555 ,            45
50x100-3   ,Solve 3 ,  50 ,     2 ,  0.0                  ,   0.0 ,-               ,         0 ,             0
100x200-3  ,Solve 1 , 300 , 13336 , 17.028760000000034    , 466.0 ,1.250000e+02    ,     34307 ,           185
100x200-3  ,Solve 2 , 200 ,  4458 ,  4.1233290000000125   , 166.0 ,8.170588e+01    ,      6928 ,           159
100x200-3  ,Solve 3 , 100 ,     2 ,  0.0                  ,   0.0 ,-               ,         0 ,             0
100x500-3  ,Solve 1 , 600 , 33336 , 98.38541999999984     ,2065.0 ,2.450000e+02    ,     80451 ,           187
100x500-3  ,Solve 2 , 400 , 11158 , 17.07100700000001     , 864.0 ,1.847941e+02    ,     16195 ,           115
100x500-3  ,Solve 3 , 200 ,     2 ,  0.003980000000183281 ,   0.0 ,-               ,         0 ,             0
